Date,Open,High,Low,Close,Change (Pips),Change (%)
"Jun 26, 2018 6:00",1.171,1.17113,1.16913,1.16932,-16.8,-0.14%
"Jun 26, 2018 5:00",1.17145,1.17189,1.17093,1.17099,-4.6,-0.04%
"Jun 26, 2018 4:00",1.17094,1.17156,1.17094,1.17145,5.1,0.0004
"Jun 26, 2018 3:00",1.17167,1.17205,1.17093,1.17097,-7,-0.06%
"Jun 26, 2018 2:00",1.1706,1.1718,1.1706,1.17167,10.7,0.0009
"Jun 26, 2018 1:00",1.17044,1.17118,1.1701,1.17058,1.4,0.0001
"Jun 26, 2018 0:00",1.17012,1.17105,1.16991,1.17047,3.5,0.0003
"Jun 25, 2018 23:00",1.1702,1.17055,1.16994,1.17007,-1.3,-0.01%
"Jun 25, 2018 22:00",1.17,1.17067,1.16997,1.17021,2.1,0.0002
"Jun 25, 2018 21:00",1.17025,1.17045,1.16991,1.17007,-1.8,-0.02%
"Jun 25, 2018 20:00",1.16995,1.17052,1.16975,1.17035,4,0.0003
"Jun 25, 2018 19:00",1.17042,1.17123,1.16987,1.16993,-4.9,-0.04%
"Jun 25, 2018 18:00",1.16969,1.17129,1.16969,1.17041,7.2,0.0006
"Jun 25, 2018 17:00",1.16915,1.17017,1.16912,1.16969,5.4,0.0005
"Jun 25, 2018 16:00",1.16928,1.17016,1.16898,1.16916,-1.2,-0.01%
"Jun 25, 2018 15:00",1.16876,1.16978,1.16822,1.16929,5.3,0.0005
"Jun 25, 2018 14:00",1.16797,1.16904,1.16711,1.16876,7.9,0.0007
"Jun 25, 2018 13:00",1.1682,1.16938,1.1678,1.16798,-2.2,-0.02%
"Jun 25, 2018 12:00",1.16874,1.17015,1.16791,1.16817,-5.7,-0.05%
"Jun 25, 2018 11:00",1.1652,1.16937,1.16519,1.1688,36,0.0031
"Jun 25, 2018 10:00",1.16495,1.1652,1.16392,1.16516,2.1,0.0002
"Jun 25, 2018 9:00",1.16588,1.16647,1.1639,1.16495,-9.3,-0.08%
"Jun 25, 2018 8:00",1.16435,1.16706,1.16404,1.16587,15.2,0.0013
"Jun 25, 2018 7:00",1.16306,1.16454,1.16282,1.16431,12.5,0.0011
"Jun 25, 2018 6:00",1.16416,1.16479,1.16296,1.16307,-10.9,-0.09%
"Jun 25, 2018 5:00",1.16525,1.16568,1.16397,1.1642,-10.5,-0.09%
"Jun 25, 2018 4:00",1.1656,1.16568,1.16502,1.16522,-3.8,-0.03%
"Jun 25, 2018 3:00",1.16474,1.16571,1.16466,1.16562,8.8,0.0008
"Jun 25, 2018 2:00",1.16565,1.16582,1.16472,1.16472,-9.3,-0.08%
"Jun 25, 2018 1:00",1.16565,1.16604,1.16498,1.16564,-0.1,0
"Jun 25, 2018 0:00",1.16604,1.16613,1.16517,1.16567,-3.7,-0.03%
"Jun 24, 2018 23:00",1.1669,1.16725,1.16598,1.16599,-9.1,-0.08%
"Jun 24, 2018 22:00",1.16652,1.16695,1.16631,1.16694,4.2,0.0004
"Jun 24, 2018 21:00",1.16617,1.16667,1.16575,1.16646,2.9,0.0002
"Jun 22, 2018 20:00",1.16584,1.16632,1.16566,1.16567,-1.7,-0.01%
"Jun 22, 2018 19:00",1.16628,1.16657,1.16578,1.16586,-4.2,-0.04%
"Jun 22, 2018 18:00",1.16614,1.16675,1.16557,1.16626,1.2,0.0001
"Jun 22, 2018 17:00",1.16475,1.16619,1.16465,1.1661,13.5,0.0012
"Jun 22, 2018 16:00",1.16299,1.16524,1.16295,1.16478,17.9,0.0015
"Jun 22, 2018 15:00",1.16382,1.16406,1.16296,1.16299,-8.3,-0.07%
"Jun 22, 2018 14:00",1.16499,1.16544,1.16173,1.16374,-12.5,-0.11%
"Jun 22, 2018 13:00",1.16543,1.16665,1.16431,1.16504,-3.9,-0.03%
"Jun 22, 2018 12:00",1.16419,1.16563,1.16396,1.1654,12.1,0.001
